Rank|Team|W|L|T|PF|PA|Power|SoS
1|SAN DIEGO|12|3|0|450|265|104.093|99.452
2|OAKLAND|10|4|0|363|282|102.334|99.611
3|BOSTON|8|7|1|363|316|100.747|100.106
4|BUFFALO|7|7|1|312|317|99.877|100.014
5|KANSAS CITY|5|7|2|347|263|99.515|100.014
6|HOUSTON|6|8|0|302|372|98.844|100.109
7|NY JETS|5|8|1|249|399|98.274|100.191
8|DENVER|2|11|1|301|473|95.925|100.526
