Rank|Team|W|L|T|PF|PA|Power|SoS
1|BUFFALO|11|3|1|336|226|103.551|99.636
2|SAN DIEGO|9|3|3|340|250|102.516|99.844
3|OAKLAND|8|5|1|298|239|101.243|99.761
4|KANSAS CITY|7|5|2|322|285|100.811|99.822
5|NY JETS|5|8|1|285|303|98.763|100.115
6|BOSTON|4|8|2|244|302|98.048|100.217
7|DENVER|4|10|0|303|392|97.463|100.301
8|HOUSTON|4|10|0|298|429|97.173|100.342
