Rank|Team|W|L|T|PF|PA|Power|SoS
1|KANSAS CITY|13|3|0|389|190|105.436|99.935
2|OAKLAND|13|2|1|440|266|104.995|99.835
3|NY JETS|10|5|0|359|282|101.692|99.254
4|SAN DIEGO|8|6|0|288|276|100.660|100.165
5|DENVER|5|8|1|297|344|99.073|100.538
6|HOUSTON|6|7|2|285|335|98.952|99.655
7|CINCINNATI|4|9|1|280|367|98.097|100.873
8|BOSTON|4|10|0|266|316|96.910|99.679
9|BUFFALO|4|10|0|230|359|96.411|100.091
10|MIAMI|3|10|1|233|332|96.237|100.085
