Rank|Team|W|L|T|PF|PA|Power|SoS
1|OAKLAND|14|1|0|508|240|106.654|99.303
2|KANSAS CITY|9|5|0|408|254|102.947|99.958
3|SAN DIEGO|8|5|1|360|352|101.340|99.880
4|HOUSTON|9|5|1|265|239|101.301|99.681
5|NY JETS|8|5|1|371|329|101.046|99.581
6|BUFFALO|4|10|0|237|285|96.816|100.067
7|BOSTON|3|10|1|280|389|96.745|100.419
8|DENVER|3|11|0|256|409|96.564|100.927
9|MIAMI|4|10|0|219|407|96.017|100.258
