Rank|Team|W|L|T|PF|PA|Power|SoS
1|DALLAS|12|3|0|409|250|104.278|99.568
2|HOUSTON|11|4|0|404|290|103.144|99.795
3|BOSTON|9|4|1|346|295|101.945|99.646
4|BUFFALO|7|6|1|309|272|100.641|99.833
5|DENVER|7|7|0|353|334|100.170|99.900
6|NY TITANS|5|9|0|278|423|97.793|100.239
7|SAN DIEGO|4|10|0|314|392|97.259|100.316
8|OAKLAND|1|13|0|213|370|94.239|100.747
