Rank|Team|W|L|T|PF|PA|Power|SoS
1|HOUSTON|11|4|0|403|301|102.770|99.694
2|LA CHARGERS|10|5|0|389|360|101.574|99.933
3|DALLAS|8|6|0|362|253|101.532|99.737
4|NY TITANS|7|7|0|382|399|99.876|99.973
5|OAKLAND|6|8|0|319|388|98.977|100.102
6|BUFFALO|5|8|1|296|303|98.933|100.108
7|BOSTON|5|9|0|286|349|98.139|100.222
8|DENVER|4|9|1|309|393|97.890|100.257
