Rank|Team|W|L|T|PF|PA|Power|SoS
1|KANSAS CITY|12|2|1|479|283|104.770|99.663
2|BUFFALO|9|5|1|365|286|102.050|100.163
3|BOSTON|8|4|2|315|283|101.813|99.901
4|SAN DIEGO|7|6|1|335|284|101.186|100.293
5|OAKLAND|8|5|1|315|288|100.928|99.522
6|NY JETS|6|6|2|322|312|99.894|99.868
7|HOUSTON|3|11|0|335|396|96.699|99.977
8|DENVER|4|10|0|196|381|96.320|100.317
9|MIAMI|3|11|0|213|362|95.852|100.309
