Rank|Team|W|L|T|PF|PA|Power|SoS
1|HOUSTON|11|3|1|523|245|104.669|99.589
2|SAN DIEGO|12|3|0|399|229|104.489|99.625
3|BOSTON|9|4|1|413|313|102.233|99.588
4|NY TITANS|7|7|0|301|390|99.476|99.981
5|DALLAS|6|8|0|334|343|98.981|100.052
6|BUFFALO|6|8|0|294|342|98.849|100.071
7|DENVER|3|11|0|251|432|95.930|100.488
8|OAKLAND|2|12|0|237|458|94.718|100.661
