Rank|Team|W|L|T|PF|PA|Power|SoS
1|OAKLAND|13|3|0|517|266|105.748|99.872
2|KANSAS CITY|12|3|0|377|211|105.538|100.048
3|NY JETS|12|3|0|446|303|104.290|99.291
4|SAN DIEGO|9|5|0|382|310|102.798|100.337
5|HOUSTON|7|7|0|303|248|100.025|99.635
6|DENVER|5|9|0|255|404|97.504|100.474
7|MIAMI|5|8|1|276|355|97.393|99.327
8|CINCINNATI|3|11|0|215|329|95.960|100.821
9|BOSTON|4|10|0|229|406|95.623|99.690
10|BUFFALO|1|12|1|199|367|93.599|100.568
