Rank|Team|W|L|T|PF|PA|Power|SoS
1|BUFFALO|13|2|0|420|249|105.073|99.335
2|BOSTON|10|3|1|365|297|102.806|99.537
3|SAN DIEGO|8|6|1|348|320|101.038|100.142
4|KANSAS CITY|7|7|0|366|306|100.326|99.891
5|OAKLAND|5|7|2|303|350|98.971|100.085
6|NY JETS|5|8|1|278|315|98.598|100.138
7|HOUSTON|4|10|0|310|355|97.519|100.292
8|DENVER|2|11|1|240|438|95.233|100.619
