Rank|Team|W|L|T|PF|PA|Power|SoS
1|CINCINNATI|14|5|0|506|372|103.391|100.063
2|BUFFALO|13|5|0|356|268|103.379|100.499
3|SAN FRANCISCO|13|6|0|451|322|103.005|100.317
4|CHICAGO|13|5|0|335|255|102.849|99.705
5|MINNESOTA|12|6|0|443|284|102.533|99.853
6|LA RAMS|10|7|0|424|321|101.665|99.891
7|HOUSTON|11|7|0|458|405|101.653|100.168
8|NEW ENGLAND|9|7|0|250|284|101.359|100.783
9|INDIANAPOLIS|9|7|0|354|315|101.301|100.486
10|NEW ORLEANS|10|6|0|312|283|101.161|99.562
11|CLEVELAND|10|7|0|327|312|101.047|99.968
12|PHILADELPHIA|10|7|0|391|339|100.865|99.712
13|NY JETS|8|7|1|372|354|100.683|100.271
14|NY GIANTS|10|6|0|359|304|100.656|98.981
15|SEATTLE|9|8|0|352|350|100.133|100.028
16|DENVER|8|8|0|327|352|99.657|99.495
17|WASHINGTON|7|9|0|345|387|99.137|100.016
18|LA RAIDERS|7|9|0|325|369|99.135|99.931
19|MIAMI|6|10|0|319|380|98.833|100.510
20|PHOENIX|7|9|0|344|398|98.776|99.755
21|PITTSBURGH|5|11|0|336|421|97.627|100.262
22|SAN DIEGO|6|10|0|231|332|97.604|99.741
23|TAMPA BAY|5|11|0|261|350|97.441|99.982
24|ATLANTA|5|11|0|244|315|97.309|99.773
25|KANSAS CITY|4|11|1|254|320|96.853|99.707
26|DETROIT|4|12|0|220|313|96.505|100.037
27|GREEN BAY|4|12|0|240|315|96.481|100.026
28|DALLAS|3|13|0|265|381|96.228|100.402
