Rank|Team|W|L|T|PF|PA|Power|SoS
1|SAN FRANCISCO|17|2|0|568|279|106.542|99.732
2|NY GIANTS|12|5|0|361|271|103.294|100.056
3|DENVER|13|6|0|433|325|103.262|100.646
4|LA RAMS|13|6|0|469|394|102.819|100.264
5|MINNESOTA|10|7|0|364|316|101.580|100.266
6|PHILADELPHIA|10|7|0|325|319|101.292|100.215
7|WASHINGTON|10|6|0|386|308|101.173|99.141
8|CLEVELAND|10|7|1|389|321|101.130|100.078
9|NEW ORLEANS|9|7|0|386|301|100.977|99.732
10|KANSAS CITY|8|7|1|318|286|100.531|99.952
11|BUFFALO|9|8|0|439|351|100.527|99.603
12|GREEN BAY|10|6|0|362|356|100.513|99.218
13|CINCINNATI|8|8|0|404|285|100.499|99.985
14|PITTSBURGH|10|8|0|314|373|100.329|99.972
15|SEATTLE|8|8|0|265|303|100.182|100.492
16|HOUSTON|9|8|0|388|438|100.035|99.882
17|SAN DIEGO|7|9|0|292|264|99.902|100.325
18|INDIANAPOLIS|8|8|0|298|301|99.651|99.668
19|LA RAIDERS|7|9|0|289|323|99.434|100.222
20|CHICAGO|6|10|0|358|377|99.363|100.712
21|DETROIT|7|9|0|312|364|98.827|99.821
22|MIAMI|8|8|0|331|379|98.807|98.933
23|TAMPA BAY|5|11|0|320|419|97.869|100.502
24|NEW ENGLAND|5|11|0|297|391|96.908|99.710
25|PHOENIX|5|11|0|258|377|96.784|99.771
26|NY JETS|4|12|0|253|411|95.819|99.897
27|ATLANTA|3|13|0|279|437|95.438|100.375
28|DALLAS|1|15|0|204|393|93.545|100.702
