Rank|Team|W|L|T|PF|PA|Power|SoS
1|NEW ENGLAND|17|2|0|421|295|106.509|100.919
2|INDIANAPOLIS|14|5|0|540|401|104.353|101.074
3|TENNESSEE|13|5|0|469|358|103.951|100.786
4|PHILADELPHIA|13|5|0|397|318|103.137|100.371
5|CAROLINA|14|6|0|426|372|102.879|100.347
6|MIAMI|10|6|0|311|261|102.602|100.787
7|KANSAS CITY|13|4|0|515|370|102.546|98.663
8|ST. LOUIS|12|5|0|470|357|101.413|98.656
9|GREEN BAY|11|7|0|492|354|101.379|99.311
10|DALLAS|10|7|0|299|289|101.050|100.083
11|DENVER|10|7|0|391|342|100.812|99.603
12|BALTIMORE|10|7|0|408|301|100.609|98.965
13|NEW ORLEANS|8|8|0|340|326|100.436|100.374
14|TAMPA BAY|7|9|0|301|264|100.344|100.497
15|SEATTLE|10|7|0|431|360|100.324|98.897
16|MINNESOTA|9|7|0|416|353|99.841|98.674
17|BUFFALO|6|10|0|243|279|99.756|101.425
18|NEW YORK JETS|6|10|0|283|299|99.459|101.004
19|SAN FRANCISCO|7|9|0|384|337|98.917|99.232
20|JACKSONVILLE|5|11|0|276|331|98.762|101.264
21|HOUSTON|5|11|0|255|380|98.591|101.568
22|CINCINNATI|8|8|0|346|384|98.310|98.752
23|CHICAGO|7|9|0|283|346|98.190|99.094
24|ATLANTA|5|11|0|299|422|98.112|100.836
25|WASHINGTON|5|11|0|287|372|98.029|100.678
26|PITTSBURGH|6|10|0|300|327|97.708|99.144
27|CLEVELAND|5|11|0|254|322|97.023|99.695
28|NEW YORK GIANTS|4|12|0|243|387|96.932|100.986
29|DETROIT|5|11|0|270|379|96.798|99.610
30|OAKLAND|4|12|0|270|379|95.816|99.465
31|SAN DIEGO|4|12|0|313|441|95.730|99.348
32|ARIZONA|4|12|0|225|452|95.445|99.693
