Rank|Team|W|L|T|PF|PA|Power|SoS
1|WASHINGTON|17|2|0|587|265|107.696|100.774
2|BUFFALO|15|4|0|529|376|103.074|98.666
3|DALLAS|12|6|0|365|361|103.062|101.241
4|NEW ORLEANS|11|6|0|361|238|102.995|100.108
5|DETROIT|13|5|0|387|342|102.946|99.821
6|SAN FRANCISCO|10|6|0|393|239|102.759|100.377
7|HOUSTON|12|6|0|427|287|102.646|99.986
8|PHILADELPHIA|10|6|0|285|244|102.431|100.738
9|DENVER|13|5|0|337|269|102.342|99.426
10|KANSAS CITY|11|7|0|346|295|102.011|100.484
11|ATLANTA|11|7|0|395|382|101.870|100.712
12|CHICAGO|11|6|0|312|286|101.844|99.753
13|NY GIANTS|8|8|0|281|297|100.753|100.855
14|LA RAIDERS|9|8|0|304|307|100.551|100.005
15|MINNESOTA|8|8|0|301|306|99.293|99.420
16|SEATTLE|7|9|0|276|261|99.186|99.524
17|PITTSBURGH|7|9|0|292|344|98.930|99.842
18|MIAMI|8|8|0|343|349|98.532|98.255
19|CLEVELAND|6|10|0|293|298|98.435|99.786
20|NY JETS|8|9|0|324|310|98.372|98.506
21|PHOENIX|4|12|0|196|344|97.716|101.817
22|SAN DIEGO|4|12|0|274|342|97.221|100.390
23|GREEN BAY|4|12|0|273|313|96.503|99.547
24|NEW ENGLAND|6|10|0|211|305|96.471|98.730
25|LA RAMS|3|13|0|234|390|96.172|101.195
26|CINCINNATI|3|13|0|263|435|96.041|100.882
27|TAMPA BAY|3|13|0|199|365|95.044|100.012
28|INDIANAPOLIS|1|15|0|143|381|90.991|99.146
