Rank|Team|W|L|T|PF|PA|Power|SoS
1|OAKLAND|13|3|0|396|278|104.774|100.495
2|PITTSBURGH|12|3|1|361|216|104.149|99.811
3|MINNESOTA|12|4|0|354|219|103.222|99.423
4|MIAMI|11|4|0|353|244|102.997|99.354
5|WASHINGTON|10|5|0|330|215|102.888|100.067
6|LA RAMS|11|5|0|292|205|102.319|99.555
7|ST LOUIS|10|5|0|309|248|102.316|99.931
8|DALLAS|8|6|0|297|235|101.527|100.022
9|BUFFALO|9|6|0|278|276|101.246|100.082
10|NEW ENGLAND|7|7|0|348|289|101.037|100.369
11|DENVER|7|6|1|302|294|100.660|100.295
12|CINCINNATI|7|7|0|278|273|100.541|100.509
13|HOUSTON|7|7|0|236|282|100.442|100.830
14|PHILADELPHIA|7|7|0|242|217|99.941|99.759
15|DETROIT|7|7|0|270|266|99.570|99.592
16|NY JETS|7|7|0|279|300|99.209|99.405
17|KANSAS CITY|5|9|0|227|293|98.980|101.096
18|GREEN BAY|6|8|0|210|206|98.627|99.271
19|SAN FRANCISCO|6|8|0|227|217|98.526|99.244
20|CLEVELAND|4|10|0|241|344|98.418|101.328
21|SAN DIEGO|5|9|0|212|275|98.244|100.339
22|NEW ORLEANS|5|9|0|147|273|97.220|99.937
23|CHICAGO|4|10|0|152|279|95.746|99.264
24|BALTIMORE|2|12|0|190|329|95.134|100.522
25|NY GIANTS|2|12|0|195|293|95.115|100.164
26|ATLANTA|3|11|0|111|271|94.413|99.475
