Rank|Team|W|L|T|PF|PA|Power|SoS
1|BALTIMORE|15|1|0|460|158|108.943|100.108
2|LA RAMS|10|3|1|312|200|104.614|100.481
3|DALLAS|12|3|0|451|217|104.025|98.498
4|CLEVELAND|11|5|0|425|327|103.084|100.283
5|ST LOUIS|9|4|1|325|289|101.746|99.588
6|SAN FRANCISCO|7|6|1|303|310|101.203|100.969
7|MINNESOTA|8|7|0|296|266|100.556|100.234
8|GREEN BAY|6|7|1|281|227|99.633|99.744
9|NY GIANTS|7|7|0|289|325|99.169|99.794
10|CHICAGO|7|7|0|250|333|98.970|99.839
11|DETROIT|4|8|2|207|241|97.759|100.012
12|WASHINGTON|5|9|0|249|358|96.879|99.191
13|NEW ORLEANS|4|9|1|246|322|96.673|99.384
14|PITTSBURGH|2|11|1|244|397|95.188|100.525
15|ATLANTA|2|12|0|170|389|95.170|101.830
16|PHILADELPHIA|2|12|0|202|351|94.341|99.554
