Rank|Team|W|L|T|PF|PA|Power|SoS
1|BALTIMORE|16|4|0|428|188|105.289|99.865
2|TENNESSEE|13|4|0|356|215|104.551|100.234
3|NY GIANTS|14|5|0|396|290|103.417|99.861
4|MIAMI|12|6|0|346|270|102.932|100.487
5|OAKLAND|13|5|0|509|315|102.688|98.971
6|PHILADELPHIA|12|6|0|382|268|102.218|99.542
7|INDIANAPOLIS|10|7|0|447|349|102.123|100.614
8|MINNESOTA|12|6|0|431|429|102.030|100.176
9|PITTSBURGH|9|7|0|321|255|101.873|100.364
10|NY JETS|9|7|0|321|321|101.856|101.240
11|TAMPA BAY|10|7|0|391|290|101.839|100.348
12|DETROIT|9|7|0|307|307|101.418|100.750
13|GREEN BAY|9|7|0|353|323|101.378|100.392
14|WASHINGTON|8|8|0|281|269|100.837|100.586
15|DENVER|11|6|0|488|390|100.541|98.508
16|BUFFALO|8|8|0|315|350|100.299|100.469
17|NEW ORLEANS|11|7|0|401|367|100.146|98.698
18|ST LOUIS|10|7|0|568|502|100.079|98.958
19|JACKSONVILLE|7|9|0|367|327|99.737|100.106
20|KANSAS CITY|7|9|0|355|354|98.415|99.123
21|CAROLINA|7|9|0|310|310|98.321|98.862
22|NEW ENGLAND|5|11|0|276|338|98.047|100.475
23|CHICAGO|5|11|0|216|355|98.015|101.170
24|DALLAS|5|11|0|294|361|97.858|100.454
25|SEATTLE|6|10|0|320|405|97.553|99.415
26|SAN FRANCISCO|6|10|0|388|422|97.278|98.541
27|ATLANTA|4|12|0|252|413|96.112|99.983
28|CINCINNATI|4|12|0|185|359|95.991|100.563
29|CLEVELAND|3|13|0|161|419|94.933|101.027
30|ARIZONA|3|13|0|210|443|94.639|100.340
31|SAN DIEGO|1|15|0|269|440|93.799|100.288
