Rank|Team|W|L|T|PF|PA|Power|SoS
1|OAKLAND|15|5|0|466|362|104.256|101.028
2|PHILADELPHIA|14|5|0|445|272|103.977|99.876
3|SAN DIEGO|12|6|0|465|375|103.493|100.978
4|DALLAS|14|5|0|525|371|103.390|99.887
5|ATLANTA|12|5|0|432|302|102.312|99.134
6|BUFFALO|11|6|0|334|280|102.181|100.092
7|NEW ENGLAND|10|6|0|441|325|101.754|99.574
8|HOUSTON|11|6|0|302|278|101.732|99.932
9|CLEVELAND|11|6|0|369|324|101.716|99.934
10|PITTSBURGH|9|7|0|352|313|101.384|100.467
11|LA RAMS|11|6|0|437|323|101.190|98.847
12|DENVER|8|8|0|310|323|100.817|101.021
13|KANSAS CITY|8|8|0|319|336|100.486|100.803
14|MIAMI|8|8|0|266|305|99.861|100.170
15|DETROIT|9|7|0|334|272|99.706|98.399
16|MINNESOTA|9|8|0|333|339|99.607|99.519
17|BALTIMORE|7|9|0|355|387|99.428|100.203
18|CINCINNATI|6|10|0|244|312|98.938|100.773
19|CHICAGO|7|9|0|304|264|98.909|99.328
20|WASHINGTON|6|10|0|261|293|98.352|100.103
21|SEATTLE|4|12|0|291|408|98.062|101.365
22|TAMPA BAY|5|10|1|271|341|97.319|99.510
23|ST LOUIS|5|11|0|299|350|97.257|99.776
24|SAN FRANCISCO|6|10|0|320|415|97.212|99.060
25|GREEN BAY|5|10|1|231|371|97.160|99.530
26|NY JETS|4|12|0|302|395|96.975|100.172
27|NY GIANTS|4|12|0|249|425|95.844|100.341
28|NEW ORLEANS|1|15|0|291|487|93.256|100.000
