Rank|Team|W|L|T|PF|PA|Power|SoS
1|BALTIMORE|11|1|2|394|198|105.982|99.693
2|LA RAMS|11|2|2|405|224|105.458|100.045
3|GREEN BAY|11|4|1|381|233|103.929|100.395
4|DALLAS|10|6|0|411|303|101.486|99.494
5|CHICAGO|7|6|1|239|218|101.019|100.371
6|CLEVELAND|9|6|0|348|349|100.589|99.349
7|SAN FRANCISCO|7|7|0|273|337|99.870|100.566
8|DETROIT|5|7|2|260|259|99.842|100.539
9|NY GIANTS|7|7|0|369|379|99.240|99.389
10|WASHINGTON|5|6|3|347|353|99.022|99.451
11|ST LOUIS|6|7|1|333|356|98.835|99.447
12|PHILADELPHIA|6|7|1|351|409|98.659|99.503
13|MINNESOTA|3|8|3|233|294|98.182|100.776
14|PITTSBURGH|4|9|1|281|320|97.543|99.631
15|NEW ORLEANS|3|11|0|233|379|95.373|99.973
16|ATLANTA|1|12|1|175|422|93.766|101.438
