Rank|Team|W|L|T|PF|PA|Power|SoS
1|SAN FRANCISCO|10|3|0|383|223|104.189|99.671
2|NEW ORLEANS|10|3|0|357|276|103.713|99.889
3|WASHINGTON|11|4|0|380|282|103.389|100.052
4|DENVER|10|4|1|395|302|102.791|99.879
5|CLEVELAND|9|5|0|397|273|102.613|100.045
6|PHILADELPHIA|7|5|0|302|288|101.898|100.941
7|MINNESOTA|10|5|0|393|316|101.882|99.514
8|CHICAGO|9|4|0|294|274|101.655|99.134
9|MIAMI|7|5|0|269|274|101.243|100.455
10|BUFFALO|6|6|0|251|241|101.120|101.064
11|NY GIANTS|6|6|0|244|227|100.797|100.439
12|NEW ENGLAND|6|6|0|275|259|100.791|100.522
13|HOUSTON|8|6|0|316|362|100.590|100.097
14|INDIANAPOLIS|7|6|0|261|249|100.415|99.957
15|SEATTLE|7|6|0|320|286|100.412|99.729
16|PITTSBURGH|6|6|0|215|249|100.092|100.500
17|NY JETS|5|7|0|273|285|99.625|100.529
18|LA RAMS|5|7|0|256|279|99.160|100.176
19|ST LOUIS|6|6|0|289|287|98.940|98.892
20|LA RAIDERS|4|8|0|235|219|98.550|100.003
21|DALLAS|5|7|0|254|289|98.543|99.765
22|SAN DIEGO|5|7|0|203|278|98.411|100.151
23|GREEN BAY|3|8|1|200|255|97.330|100.249
24|CINCINNATI|3|9|0|259|316|97.262|100.341
25|KANSAS CITY|4|8|0|239|285|97.104|99.206
26|DETROIT|3|9|0|209|300|95.518|99.236
27|TAMPA BAY|2|10|0|222|306|94.723|99.769
28|ATLANTA|2|10|0|152|363|93.827|100.044
