Rank|Team|W|L|T|PF|PA|Power|SoS
1|DETROIT|11|3|0|392|220|104.795|99.964
2|LA RAMS|9|4|0|370|265|103.486|100.113
3|CLEVELAND|8|5|0|317|230|101.953|100.236
4|SAN FRANCISCO|7|5|0|285|221|101.543|99.721
5|NY GIANTS|7|5|0|234|231|100.226|98.925
6|GREEN BAY|6|6|0|295|312|100.156|99.842
7|PHILADELPHIA|7|5|0|252|271|99.655|98.857
8|PITTSBURGH|5|7|0|300|273|99.587|100.360
9|CHICAGO|5|6|0|222|299|99.529|100.603
10|WASHINGTON|4|8|0|240|287|97.963|99.972
11|CHICAGO CARDINALS|4|8|0|172|221|97.563|99.819
12|DALLAS|0|11|0|155|404|91.547|101.761
