Rank|Team|W|L|T|PF|PA|Power|SoS
1|NEW ENGLAND|18|0|0|641|306|109.520|100.002
2|DALLAS|13|4|0|472|346|104.824|100.869
3|INDIANAPOLIS|13|4|0|474|290|104.785|100.444
4|GREEN BAY|14|4|0|497|334|104.647|100.458
5|SAN DIEGO|13|6|0|469|335|104.198|101.177
6|NEW YORK GIANTS|14|6|0|458|403|103.628|100.709
7|JACKSONVILLE|12|6|0|462|364|102.978|100.587
8|WASHINGTON|9|8|0|348|345|101.879|101.359
9|PHILADELPHIA|8|8|0|336|300|101.742|101.499
10|TENNESSEE|10|7|0|307|314|101.109|100.189
11|MINNESOTA|8|8|0|365|311|101.083|100.632
12|PITTSBURGH|10|7|0|422|300|100.521|98.673
13|CHICAGO|7|9|0|334|348|100.431|101.219
14|SEATTLE|11|7|0|448|347|100.206|98.223
15|HOUSTON|8|8|0|379|384|100.119|100.011
16|DETROIT|7|9|0|356|444|100.090|101.211
17|TAMPA BAY|9|8|0|348|294|99.962|99.151
18|CLEVELAND|10|6|0|402|382|99.540|98.197
19|DENVER|7|9|0|320|409|99.298|100.645
20|BUFFALO|7|9|0|252|354|98.805|100.474
21|NEW ORLEANS|7|9|0|379|388|98.411|99.077
22|CAROLINA|7|9|0|267|347|98.132|99.568
23|ARIZONA|8|8|0|404|399|97.844|97.875
24|CINCINNATI|7|9|0|380|385|97.649|98.489
25|OAKLAND|4|12|0|283|398|96.896|100.566
26|KANSAS CITY|4|12|0|226|345|96.784|100.631
27|NEW YORK JETS|4|12|0|268|355|96.416|100.499
28|BALTIMORE|5|11|0|275|384|96.229|99.359
29|ATLANTA|4|12|0|259|414|95.497|99.600
30|SAN FRANCISCO|5|11|0|219|364|95.028|98.399
31|ST. LOUIS|3|13|0|263|438|93.812|98.848
32|MIAMI|1|15|0|267|437|93.713|100.782
33|NEW ENGLAND 14|0|1|0|1|17|92.627|103.628
