Rank|Team|W|L|T|PF|PA|Power|SoS
1|BALTIMORE|14|5|0|527|307|104.735|100.927
2|SAN FRANCISCO|14|6|0|571|375|103.647|100.379
3|KANSAS CITY|15|6|0|466|358|103.173|100.287
4|DETROIT|14|6|0|547|475|102.474|99.990
5|CLEVELAND|11|7|0|410|407|101.991|100.803
6|BUFFALO|12|7|0|506|355|101.983|99.625
7|DALLAS|12|6|0|541|363|101.797|98.955
8|CINCINNATI|9|8|0|366|384|101.413|101.337
9|PITTSBURGH|10|8|0|321|355|101.229|100.938
10|LA RAMS|10|8|0|427|401|101.192|100.498
11|HOUSTON|11|8|0|432|401|101.058|100.066
12|MIAMI|11|7|0|503|417|100.981|99.361
13|JACKSONVILLE|9|8|0|371|371|100.856|100.535
14|PHILADELPHIA|11|7|0|442|460|100.470|99.517
15|GREEN BAY|10|9|0|452|406|100.394|99.849
16|SEATTLE|9|8|0|364|402|100.289|100.184
17|TAMPA BAY|10|9|0|403|365|100.218|99.632
18|INDIANAPOLIS|9|8|0|396|415|100.197|99.911
19|NEW ORLEANS|9|8|0|402|327|99.629|98.806
20|LAS VEGAS|8|9|0|332|331|99.503|99.876
21|DENVER|8|9|0|357|413|99.485|99.879
22|MINNESOTA|7|10|0|344|362|99.111|100.011
23|CHICAGO|7|10|0|360|379|98.434|99.445
24|TENNESSEE|6|11|0|305|367|98.316|100.279
25|NY JETS|7|10|0|268|355|98.171|99.666
26|LA CHARGERS|5|12|0|346|398|98.111|100.406
27|ATLANTA|7|10|0|321|373|97.654|98.814
28|NY GIANTS|6|11|0|266|407|97.189|99.687
29|ARIZONA|4|13|0|330|455|96.991|100.695
30|NEW ENGLAND|4|13|0|243|366|96.185|99.920
31|WASHINGTON|4|13|0|329|518|95.586|99.643
32|CAROLINA|2|15|0|236|416|94.275|99.936
