Rank|Team|W|L|T|PF|PA|Power|SoS
1|CLEVELAND|11|2|0|348|176|105.664|100.130
2|NY GIANTS|9|2|1|254|161|103.428|99.059
3|LA RAMS|9|4|0|416|278|103.048|99.707
4|SAN FRANCISCO|7|4|1|255|205|101.453|99.656
5|DETROIT|7|4|1|336|259|101.090|99.119
6|CHICAGO|7|5|0|286|282|100.155|99.154
7|WASHINGTON|5|7|0|183|296|98.523|100.451
8|PHILADELPHIA|4|8|0|234|264|98.363|100.626
9|PITTSBURGH|4|7|1|183|235|98.058|100.232
10|CHICAGO CARDINALS|3|9|0|210|287|97.880|101.372
11|NY YANKS|1|9|2|241|382|95.867|100.820
12|GREEN BAY|3|9|0|254|375|95.745|99.688
