Rank|Team|W|L|T|PF|PA|Power|SoS
1|NEW ORLEANS|16|3|0|617|397|105.195|99.883
2|INDIANAPOLIS|16|3|0|483|358|104.889|100.206
3|SAN DIEGO|13|4|0|468|337|103.239|99.499
4|MINNESOTA|13|5|0|532|344|102.963|99.086
5|NEW ENGLAND|10|7|0|441|318|102.688|100.991
6|NEW YORK JETS|11|8|0|406|294|102.649|101.054
7|DALLAS|12|6|0|398|298|102.640|100.063
8|PHILADELPHIA|11|6|0|443|371|102.004|100.020
9|GREEN BAY|11|6|0|506|348|101.703|98.622
10|BALTIMORE|10|8|0|427|295|101.700|100.246
11|ATLANTA|9|7|0|360|325|101.616|100.591
12|HOUSTON|9|7|0|388|323|101.098|99.856
13|CAROLINA|8|8|0|313|308|101.012|101.017
14|CINCINNATI|10|7|0|319|315|100.920|99.837
15|ARIZONA|11|7|0|440|415|100.629|99.108
16|PITTSBURGH|9|7|0|368|324|100.499|99.515
17|MIAMI|7|9|0|360|390|100.453|101.337
18|NEW YORK GIANTS|8|8|0|402|427|100.334|100.416
19|DENVER|8|8|0|326|324|100.272|100.112
20|TENNESSEE|8|8|0|344|402|100.112|100.355
21|SAN FRANCISCO|8|8|0|330|281|99.703|98.823
22|BUFFALO|6|10|0|258|326|99.058|100.853
23|JACKSONVILLE|7|9|0|290|380|98.516|99.896
24|CHICAGO|7|9|0|327|375|98.276|99.210
25|OAKLAND|5|11|0|197|379|96.799|100.307
26|CLEVELAND|5|11|0|245|375|96.760|99.795
27|KANSAS CITY|4|12|0|294|424|96.443|99.965
28|TAMPA BAY|3|13|0|244|400|96.424|101.223
29|WASHINGTON|4|12|0|266|336|96.389|99.746
30|SEATTLE|5|11|0|280|390|96.005|99.001
31|DETROIT|2|14|0|262|494|93.216|99.715
32|ST. LOUIS|1|15|0|175|436|91.755|99.689
