Rank|Team|W|L|T|PF|PA|Power|SoS
1|DENVER|17|2|0|596|341|106.193|99.796
2|MINNESOTA|16|2|0|624|347|105.565|99.117
3|ATLANTA|16|3|0|511|368|105.166|100.303
4|NY JETS|13|5|0|460|313|104.085|100.656
5|SAN FRANCISCO|13|5|0|527|375|103.737|100.337
6|MIAMI|11|7|0|348|320|102.708|101.091
7|JACKSONVILLE|12|6|0|441|382|101.961|99.645
8|GREEN BAY|11|6|0|435|349|101.493|99.306
9|BUFFALO|10|7|0|417|357|101.424|100.190
10|NEW ENGLAND|9|8|0|347|354|101.401|101.164
11|DALLAS|10|7|0|388|295|100.750|99.158
12|SEATTLE|8|8|0|372|310|99.873|99.579
13|TAMPA BAY|8|8|0|314|295|99.584|99.488
14|NY GIANTS|8|8|0|287|309|99.507|99.757
15|NEW ORLEANS|6|10|0|305|359|99.455|100.959
16|OAKLAND|8|8|0|288|356|99.334|99.846
17|KANSAS CITY|7|9|0|327|363|99.306|100.244
18|TENNESSEE|8|8|0|330|320|99.299|99.369
19|ARIZONA|10|8|0|366|426|99.100|98.798
20|PITTSBURGH|7|9|0|263|303|98.077|99.092
21|CAROLINA|4|12|0|336|413|97.849|100.987
22|WASHINGTON|6|10|0|319|421|97.723|99.813
23|DETROIT|5|11|0|306|378|97.525|100.124
24|ST LOUIS|4|12|0|285|378|97.487|101.146
25|BALTIMORE|6|10|0|269|335|97.188|99.154
26|CHICAGO|4|12|0|276|368|96.949|100.460
27|SAN DIEGO|5|11|0|241|342|96.761|99.668
28|INDIANAPOLIS|3|13|0|310|444|96.339|100.884
29|CINCINNATI|3|13|0|268|452|94.873|100.032
30|PHILADELPHIA|3|13|0|161|344|94.698|99.873
