Rank|Team|W|L|T|PF|PA|Power|SoS
1|MINNESOTA|14|2|0|429|160|107.038|99.945
2|LA RAMS|11|4|0|340|266|104.022|100.942
3|DETROIT|9|4|1|259|188|103.183|100.040
4|DALLAS|11|3|1|383|261|103.162|99.021
5|CLEVELAND|11|4|1|396|341|102.237|99.182
6|BALTIMORE|8|5|1|279|268|102.230|100.763
7|GREEN BAY|8|6|0|269|221|101.648|100.259
8|ATLANTA|6|8|0|276|268|100.334|101.034
9|WASHINGTON|7|5|2|307|319|99.974|99.246
10|SAN FRANCISCO|4|8|2|277|319|99.170|101.200
11|NY GIANTS|6|8|0|264|298|97.612|98.997
12|NEW ORLEANS|5|9|0|311|393|97.344|99.622
13|PHILADELPHIA|4|9|1|279|377|96.952|99.678
14|ST LOUIS|4|9|1|314|389|96.335|99.179
15|CHICAGO|1|13|0|210|339|94.330|101.305
16|PITTSBURGH|1|13|0|218|404|92.590|99.714
