Rank|Team|W|L|T|PF|PA|Power|SoS
1|BALTIMORE|10|3|0|404|220|104.868|100.210
2|CHICAGO|8|4|0|298|230|102.828|100.073
3|NY GIANTS|10|4|0|273|206|102.798|99.595
4|LA RAMS|8|4|0|344|278|102.619|100.192
5|CLEVELAND|9|4|0|302|227|101.883|99.228
6|PITTSBURGH|7|4|1|261|230|100.867|99.122
7|SAN FRANCISCO|6|6|0|257|324|99.922|100.470
8|DETROIT|4|7|1|261|276|99.857|101.205
9|WASHINGTON|4|7|1|214|268|97.378|99.435
10|CHICAGO CARDINALS|2|9|1|261|356|96.172|100.130
11|PHILADELPHIA|2|9|1|235|306|95.130|99.397
12|GREEN BAY|1|10|1|193|382|94.651|101.058
