Rank|Team|W|L|T|PF|PA|Power|SoS
1|WASHINGTON|16|3|0|625|398|105.910|100.720
2|LA RAIDERS|15|4|0|548|371|105.216|100.682
3|DALLAS|12|5|0|496|384|103.404|100.427
4|MIAMI|12|5|0|409|277|102.988|99.880
5|SEATTLE|11|8|0|475|454|102.199|101.228
6|SAN FRANCISCO|11|7|0|477|340|102.045|100.193
7|LA RAMS|10|8|0|392|412|101.263|100.769
8|ST LOUIS|8|7|1|374|428|100.684|100.715
9|NEW ENGLAND|8|8|0|274|289|100.234|100.287
10|NEW ORLEANS|8|8|0|319|337|100.047|100.134
11|DENVER|9|8|0|309|358|100.004|100.010
12|PITTSBURGH|10|7|0|365|341|99.869|98.718
13|KANSAS CITY|6|10|0|386|367|99.763|100.993
14|ATLANTA|7|9|0|370|389|99.706|100.478
15|BUFFALO|8|8|0|283|351|99.598|100.159
16|NY JETS|7|9|0|313|331|99.595|100.367
17|DETROIT|9|8|0|370|310|99.416|98.686
18|CLEVELAND|9|7|0|356|342|99.274|98.386
19|SAN DIEGO|6|10|0|358|462|99.239|101.315
20|CHICAGO|8|8|0|311|301|98.924|98.645
21|MINNESOTA|8|8|0|316|348|98.528|98.687
22|CINCINNATI|7|9|0|346|302|98.415|98.887
23|GREEN BAY|8|8|0|429|439|98.376|98.606
24|BALTIMORE|7|9|0|264|354|98.291|99.587
25|PHILADELPHIA|5|11|0|233|322|98.192|100.913
26|NY GIANTS|3|12|1|267|347|97.706|101.347
27|TAMPA BAY|2|14|0|241|380|93.972|99.256
28|HOUSTON|2|14|0|288|460|93.875|99.454
