Rank|Team|W|L|T|PF|PA|Power|SoS
1|CLEVELAND|11|2|0|364|179|105.286|99.112
2|DETROIT|11|2|0|288|221|104.690|99.728
3|SAN FRANCISCO|9|3|0|372|237|104.396|100.257
4|LA RAMS|8|3|1|366|236|102.960|99.166
5|PHILADELPHIA|7|4|1|352|215|101.812|99.245
6|WASHINGTON|6|5|1|208|215|99.496|99.044
7|PITTSBURGH|6|6|0|211|263|99.049|99.711
8|CHICAGO|3|8|1|218|262|97.354|100.331
9|NY GIANTS|3|9|0|179|277|96.728|100.646
10|BALTIMORE|3|9|0|182|350|96.609|101.072
11|GREEN BAY|2|9|1|200|338|96.380|101.362
12|CHICAGO CARDINALS|1|10|1|190|337|94.411|100.421
