Rank|Team|W|L|T|PF|PA|Power|SoS
1|DETROIT|9|3|1|347|245|104.678|101.164
2|CLEVELAND|10|3|0|392|172|104.358|99.000
3|CHICAGO|8|4|0|301|279|103.038|100.631
4|SAN FRANCISCO|7|4|1|313|251|102.351|100.221
5|LA RAMS|6|5|1|314|285|101.100|100.624
6|PHILADELPHIA|7|4|1|284|230|100.608|98.843
7|NY GIANTS|7|5|0|293|184|100.395|98.393
8|GREEN BAY|4|8|0|234|251|99.336|101.226
9|PITTSBURGH|5|7|0|219|263|97.605|99.150
10|BALTIMORE|3|9|0|131|279|97.082|101.331
11|WASHINGTON|3|9|0|207|432|94.574|99.467
12|CHICAGO CARDINALS|2|10|0|183|347|94.121|99.935
