Rank|Team|W|L|T|PF|PA|Power|SoS
1|DALLAS|13|3|0|440|237|104.478|99.317
2|MIAMI|12|3|1|363|198|103.817|99.236
3|MINNESOTA|11|4|0|257|159|103.446|99.699
4|BALTIMORE|11|5|0|333|164|103.343|99.738
5|LA RAMS|8|5|1|313|260|102.841|101.150
6|SAN FRANCISCO|10|6|0|327|250|102.620|100.780
7|KANSAS CITY|10|4|1|326|235|102.468|99.359
8|WASHINGTON|9|5|1|296|214|102.059|99.952
9|OAKLAND|8|4|2|344|278|101.243|99.389
10|DETROIT|7|6|1|341|286|101.115|100.281
11|ATLANTA|7|6|1|274|277|100.668|100.369
12|CLEVELAND|9|6|0|271|306|100.133|99.575
13|CHICAGO|6|8|0|185|276|99.402|101.230
14|NEW ORLEANS|4|8|2|266|347|99.200|101.318
15|PHILADELPHIA|6|7|1|221|302|99.162|100.337
16|NEW ENGLAND|6|8|0|238|325|98.872|100.314
17|NY JETS|6|8|0|212|299|98.666|100.026
18|GREEN BAY|4|8|2|274|298|98.546|100.246
19|PITTSBURGH|6|8|0|246|292|98.369|99.470
20|SAN DIEGO|6|8|0|311|341|97.923|98.896
21|DENVER|4|9|1|203|275|97.624|100.068
22|ST LOUIS|4|9|1|231|279|97.388|99.759
23|CINCINNATI|4|10|0|284|265|97.145|99.173
24|HOUSTON|4|9|1|264|313|96.884|99.094
25|NY GIANTS|4|10|0|228|362|96.835|100.605
26|BUFFALO|1|13|0|184|394|93.137|100.856
