Rank|Team|W|L|T|PF|PA|Power|SoS
1|BALTIMORE|10|3|0|405|267|104.244|99.999
2|NY GIANTS|9|3|0|270|181|103.056|99.209
3|CHICAGO|8|4|0|252|196|102.346|99.927
4|SAN FRANCISCO|7|5|0|255|237|101.562|100.506
5|GREEN BAY|7|5|0|248|246|101.425|100.386
6|CLEVELAND|7|5|0|270|214|101.002|99.388
7|PITTSBURGH|6|5|1|257|216|100.125|99.052
8|PHILADELPHIA|6|5|0|240|254|99.506|99.409
9|DETROIT|3|8|1|203|275|97.668|100.707
10|LA RAMS|2|10|0|242|315|97.097|101.421
11|WASHINGTON|3|9|0|185|350|95.736|100.255
12|CHICAGO CARDINALS|2|8|0|190|266|95.006|99.630
