Rank|Team|W|L|T|PF|PA|Power|SoS
1|CHICAGO|9|3|1|370|293|103.302|100.242
2|DETROIT|9|3|0|300|188|103.294|99.531
3|NY GIANTS|9|3|1|311|204|103.154|99.699
4|CHICAGO CARDINALS|7|5|0|240|182|100.992|99.654
5|WASHINGTON|6|6|0|183|225|99.457|99.975
6|SAN FRANCISCO|5|6|1|233|284|99.311|100.320
7|PITTSBURGH|5|7|0|217|250|99.055|100.007
8|BALTIMORE|5|7|0|270|322|98.844|100.244
9|CLEVELAND|5|7|0|167|177|98.716|99.661
10|LA RAMS|4|8|0|291|307|98.427|100.126
11|GREEN BAY|4|8|0|264|342|98.045|100.505
12|PHILADELPHIA|3|8|1|143|215|96.865|100.040
