Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 GREEN BAY                                  13     3     0   420   334  104.148
   2 KANSAS CITY                                11     5     0   452   340  103.401
   3 LA RAMS                                    12     4     0   436   345  103.238
   4 TAMPA BAY                                  12     4     0   470   336  103.127
   5 ARIZONA                                    11     5     0   419   328  102.693
   6 DALLAS                                     11     5     0   479   332  102.688
   7 TENNESSEE                                  11     5     0   391   329  102.320
   8 BUFFALO                                    10     6     0   456   279  102.112
   9 NEW ENGLAND                                10     6     0   438   270  101.926
  10 CINCINNATI                                 10     6     0   444   355  101.717
  11 INDIANAPOLIS                                9     7     0   440   339  101.442
  12 SAN FRANCISCO                               9     7     0   400   341  101.080
  13 LA CHARGERS                                 9     7     0   442   424  100.935
  14 BALTIMORE                                   8     8     0   374   376  100.715
  15 PHILADELPHIA                                9     7     0   418   334  100.551
  16 PITTSBURGH                                  8     7     1   327   385  100.527
  17 LAS VEGAS                                   9     7     0   339   407  100.512
  18 NEW ORLEANS                                 8     8     0   334   315  100.239
  19 MINNESOTA                                   7     9     0   394   409   99.815
  20 CLEVELAND                                   7     9     0   328   355   99.726
  21 MIAMI                                       8     8     0   308   349   99.149
  22 DENVER                                      7     9     0   311   294   99.103
  23 SEATTLE                                     6    10     0   357   336   98.894
  24 CHICAGO                                     6    10     0   294   376   98.732
  25 WASHINGTON                                  6    10     0   313   427   98.599
  26 ATLANTA                                     7     9     0   293   429   97.690
  27 CAROLINA                                    5    11     0   287   363   97.148
  28 NY GIANTS                                   4    12     0   251   394   96.869
  29 NY JETS                                     4    12     0   300   477   95.800
  30 DETROIT                                     2    13     1   288   437   95.795
  31 HOUSTON                                     4    12     0   255   424   95.476
  32 JACKSONVILLE                                2    14     0   227   446   93.833
