Rank|Team|W|L|T|PF|PA|Power|SoS
1|INDIANAPOLIS|14|3|0|457|268|105.076|99.526
2|DENVER|14|4|0|439|305|104.810|100.689
3|PITTSBURGH|15|5|0|496|320|104.539|100.521
4|SEATTLE|15|4|0|516|316|103.919|99.416
5|SAN DIEGO|9|7|0|418|312|102.484|101.199
6|NEW YORK GIANTS|11|6|0|422|337|102.391|100.185
7|KANSAS CITY|10|6|0|403|325|102.309|100.391
8|WASHINGTON|11|7|0|386|323|102.309|100.743
9|JACKSONVILLE|12|5|0|364|297|102.231|99.527
10|NEW ENGLAND|11|7|0|420|368|102.220|100.490
11|CAROLINA|13|6|0|457|314|102.210|99.379
12|CINCINNATI|11|6|0|438|381|102.046|99.938
13|CHICAGO|11|6|0|281|231|101.404|99.328
14|DALLAS|9|7|0|325|308|101.216|100.481
15|TAMPA BAY|11|6|0|310|291|100.911|99.127
16|MIAMI|9|7|0|318|317|99.941|99.425
17|MINNESOTA|9|7|0|306|344|99.745|99.472
18|ATLANTA|8|8|0|351|341|99.534|99.383
19|PHILADELPHIA|6|10|0|310|388|98.758|100.606
20|BALTIMORE|6|10|0|265|299|98.483|100.208
21|CLEVELAND|6|10|0|232|301|98.100|100.004
22|ST. LOUIS|6|10|0|363|429|97.628|99.433
23|OAKLAND|4|12|0|290|383|97.366|100.869
24|BUFFALO|5|11|0|271|367|97.237|99.904
25|ARIZONA|5|11|0|311|387|97.159|99.768
26|DETROIT|5|11|0|254|345|97.067|99.704
27|GREEN BAY|4|12|0|298|344|96.828|100.003
28|NEW YORK JETS|4|12|0|240|355|96.533|100.266
29|TENNESSEE|4|12|0|299|421|95.985|99.887
30|SAN FRANCISCO|4|12|0|239|428|95.832|100.123
31|NEW ORLEANS|3|13|0|235|398|95.118|99.769
32|HOUSTON|2|14|0|260|431|94.281|100.240
