Rank|Team|W|L|T|PF|PA|Power|SoS
1|DALLAS|15|4|0|530|346|104.727|100.416
2|KANSAS CITY|13|4|0|365|251|103.506|99.799
3|GREEN BAY|13|6|0|495|389|102.987|100.430
4|SAN FRANCISCO|11|6|0|474|285|102.744|100.071
5|PITTSBURGH|13|6|0|484|391|102.258|99.749
6|DETROIT|10|7|0|473|394|101.530|100.106
7|PHILADELPHIA|11|7|0|387|405|101.067|100.128
8|CHICAGO|9|7|0|392|360|101.032|100.107
9|MINNESOTA|8|8|0|412|385|100.809|100.634
10|SAN DIEGO|9|8|0|341|358|100.760|100.609
11|OAKLAND|8|8|0|348|332|100.572|100.487
12|MIAMI|9|8|0|420|369|100.504|99.648
13|DENVER|8|8|0|388|345|100.436|100.217
14|BUFFALO|11|7|0|408|397|100.420|99.291
15|INDIANAPOLIS|11|8|0|392|363|100.399|99.462
16|ATLANTA|9|8|0|382|386|100.198|99.841
17|SEATTLE|8|8|0|363|366|99.574|99.738
18|NEW ORLEANS|7|9|0|319|348|99.147|99.857
19|HOUSTON|7|9|0|348|324|99.058|99.470
20|CINCINNATI|7|9|0|349|374|98.968|99.683
21|TAMPA BAY|7|9|0|238|335|98.861|100.185
22|ST LOUIS|7|9|0|309|418|98.767|100.084
23|CAROLINA|7|9|0|289|325|98.665|99.410
24|WASHINGTON|6|10|0|326|359|98.511|100.245
25|NY GIANTS|5|11|0|290|340|98.393|100.785
26|NEW ENGLAND|6|10|0|294|377|97.887|99.816
27|CLEVELAND|5|11|0|289|356|97.609|99.979
28|ARIZONA|4|12|0|275|422|96.815|100.680
29|JACKSONVILLE|4|12|0|275|404|96.166|99.720
30|NY JETS|3|13|0|233|384|94.923|99.410
