Rank|Team|W|L|T|PF|PA|Power|SoS
1|DALLAS|15|4|0|471|280|104.856|100.366
2|BUFFALO|14|5|0|401|308|103.545|100.378
3|KANSAS CITY|13|6|0|396|365|102.643|100.521
4|HOUSTON|12|5|0|388|266|102.533|99.302
5|NY GIANTS|12|6|0|308|259|102.217|99.965
6|SAN FRANCISCO|11|7|0|538|336|101.996|99.697
7|GREEN BAY|10|8|0|385|333|101.382|100.448
8|LA RAIDERS|11|7|0|371|379|101.360|100.336
9|DENVER|9|8|0|397|326|100.903|100.064
10|MINNESOTA|9|8|0|287|307|100.773|100.477
11|MIAMI|9|7|0|349|351|100.684|99.933
12|SAN DIEGO|8|8|0|322|290|100.450|100.339
13|DETROIT|10|7|0|322|320|100.378|99.494
14|PHILADELPHIA|8|8|0|293|315|100.164|100.615
15|NY JETS|8|8|0|270|247|100.080|99.915
16|PITTSBURGH|9|8|0|332|308|99.974|99.536
17|PHOENIX|7|9|0|326|269|99.909|100.035
18|NEW ORLEANS|8|8|0|317|343|99.534|99.598
19|CHICAGO|7|9|0|234|230|99.397|100.147
20|SEATTLE|6|10|0|280|314|98.712|100.097
21|CLEVELAND|7|9|0|304|307|98.340|99.124
22|ATLANTA|6|10|0|316|385|97.731|99.447
23|TAMPA BAY|5|11|0|237|376|97.572|100.491
24|NEW ENGLAND|5|11|0|238|286|97.299|99.627
25|WASHINGTON|4|12|0|230|345|96.692|100.452
26|LA RAMS|5|11|0|221|367|96.673|99.653
27|INDIANAPOLIS|4|12|0|189|378|95.875|100.121
28|CINCINNATI|3|13|0|187|319|95.102|99.600
