Rank|Team|W|L|T|PF|PA|Power|SoS
1|DENVER|16|4|0|583|359|105.181|100.371
2|GREEN BAY|15|4|0|490|330|104.479|100.114
3|KANSAS CITY|13|4|0|385|246|104.041|100.112
4|SAN FRANCISCO|14|4|0|423|310|103.562|99.695
5|PITTSBURGH|12|6|0|400|337|102.539|100.422
6|JACKSONVILLE|11|6|0|411|360|102.139|100.258
7|NEW ENGLAND|11|7|0|392|299|102.056|100.241
8|TAMPA BAY|11|7|0|326|294|101.810|100.490
9|MINNESOTA|10|8|0|399|419|100.803|100.374
10|DETROIT|9|8|0|389|326|100.673|100.071
11|NY GIANTS|10|6|1|329|288|100.536|99.057
12|NY JETS|9|7|0|348|287|100.335|99.322
13|MIAMI|9|8|0|342|344|100.318|100.025
14|TENNESSEE|8|8|0|333|310|99.984|99.692
15|SEATTLE|8|8|0|365|362|99.777|99.798
16|WASHINGTON|8|7|1|327|289|99.698|99.108
17|CAROLINA|7|9|0|265|314|98.989|99.940
18|BALTIMORE|6|9|1|326|345|98.897|99.916
19|CINCINNATI|7|9|0|355|405|98.738|99.956
20|PHILADELPHIA|6|9|1|317|372|98.682|99.975
21|BUFFALO|6|10|0|255|367|98.597|100.780
22|DALLAS|6|10|0|304|314|98.524|99.854
23|ATLANTA|7|9|0|320|361|98.451|99.359
24|ST LOUIS|5|11|0|299|359|97.620|100.213
25|NEW ORLEANS|6|10|0|237|327|97.014|99.278
26|CHICAGO|4|12|0|263|421|96.918|100.606
27|OAKLAND|4|12|0|324|419|96.750|100.336
28|INDIANAPOLIS|3|13|0|313|401|96.422|100.481
29|SAN DIEGO|4|12|0|266|425|96.268|100.352
30|ARIZONA|4|12|0|283|379|96.239|99.570
