Rank|Team|W|L|T|PF|PA|Power|SoS
1|SEATTLE|16|3|0|506|270|106.861|101.061
2|SAN FRANCISCO|14|5|0|472|328|104.693|101.065
3|DENVER|15|4|0|664|475|104.118|99.836
4|CAROLINA|12|5|0|376|264|103.746|100.799
5|NEW ORLEANS|12|6|0|454|351|103.379|101.072
6|ARIZONA|10|6|0|379|324|103.087|101.146
7|NEW ENGLAND|13|5|0|503|386|102.872|99.894
8|INDIANAPOLIS|12|6|0|458|423|102.493|100.260
9|KANSAS CITY|11|6|0|474|350|101.640|99.181
10|CINCINNATI|11|6|0|440|332|101.184|99.114
11|SAN DIEGO|10|8|0|440|382|100.880|99.850
12|ST. LOUIS|7|9|0|348|364|100.490|101.449
13|PHILADELPHIA|10|7|0|466|408|100.363|99.225
14|MIAMI|8|8|0|317|335|99.920|100.091
15|DALLAS|8|8|0|439|432|99.515|99.252
16|TENNESSEE|7|9|0|362|381|99.475|100.193
17|PITTSBURGH|8|8|0|379|370|99.050|98.799
18|BALTIMORE|8|8|0|320|352|98.987|99.024
19|NEW YORK JETS|8|8|0|290|387|98.929|99.743
20|GREEN BAY|8|8|1|437|451|98.886|99.046
21|CHICAGO|8|8|0|445|478|98.643|98.812
22|NEW YORK GIANTS|7|9|0|294|383|98.599|99.788
23|BUFFALO|6|10|0|339|388|98.293|99.925
24|DETROIT|7|9|0|395|376|98.151|98.692
25|TAMPA BAY|4|12|0|288|389|97.883|101.464
26|ATLANTA|4|12|0|356|446|97.761|101.206
27|MINNESOTA|5|10|1|391|480|97.094|99.426
28|OAKLAND|4|12|0|322|453|96.346|99.871
29|CLEVELAND|4|12|0|308|406|95.914|99.293
30|JACKSONVILLE|4|12|0|247|449|95.816|100.414
31|WASHINGTON|3|13|0|334|478|95.244|99.698
32|HOUSTON|2|14|0|276|428|95.184|100.971
