Rank|Team|W|L|T|PF|PA|Power|SoS
1|SAN FRANCISCO|3|0|0|59|49|112.501|106.202
2|SEATTLE|2|1|0|88|47|108.825|105.015
3|ARIZONA|2|1|0|62|51|107.871|105.526
4|BUFFALO|3|0|0|102|71|104.888|95.954
5|GREEN BAY|2|1|0|64|44|103.647|101.113
6|LA CHARGERS|3|0|0|70|50|103.545|96.968
7|JACKSONVILLE|2|1|0|70|51|103.126|99.835
8|DETROIT|2|1|0|103|78|103.006|100.924
9|PHILADELPHIA|3|0|0|77|63|102.794|96.272
10|TAMPA BAY|3|0|0|72|66|102.691|97.045
11|CINCINNATI|2|1|0|58|91|102.422|101.893
12|INDIANAPOLIS|3|0|0|103|56|102.297|93.209
13|CAROLINA|1|2|0|62|53|102.169|103.730
14|MINNESOTA|2|1|0|81|56|102.047|99.968
15|NEW ORLEANS|0|3|0|47|90|101.908|109.732
16|BALTIMORE|1|2|0|111|96|101.835|102.800
17|PITTSBURGH|2|1|0|72|77|100.636|99.279
18|CLEVELAND|1|2|0|46|68|100.507|102.635
19|ATLANTA|1|2|0|42|59|100.192|102.302
20|WASHINGTON|2|1|0|80|57|99.826|95.751
21|LA RAMS|2|1|0|73|61|99.065|96.506
22|DENVER|1|2|0|68|64|97.821|99.217
23|CHICAGO|1|2|0|76|93|97.290|99.191
24|KANSAS CITY|1|2|0|60|56|97.231|98.030
25|NY JETS|0|3|0|69|93|96.028|102.738
26|LAS VEGAS|1|2|0|53|74|95.852|98.785
27|HOUSTON|0|3|0|38|51|94.915|101.627
28|NEW ENGLAND|1|2|0|60|68|92.985|95.496
29|DALLAS|1|2|0|74|92|92.520|95.945
30|TENNESSEE|0|3|0|51|94|91.808|99.728
31|MIAMI|0|3|0|56|97|89.999|100.057
32|NY GIANTS|0|3|0|52|83|87.752|96.526
