Rank|Team|W|L|T|PF|PA|Power|SoS
1|PITTSBURGH|15|4|0|432|262|105.147|100.560
2|BALTIMORE|13|6|0|439|286|104.181|101.161
3|TENNESSEE|13|4|0|385|247|104.117|99.985
4|NEW YORK GIANTS|12|5|0|438|317|103.586|100.527
5|INDIANAPOLIS|12|5|0|394|321|103.187|100.354
6|PHILADELPHIA|11|7|1|490|346|102.729|100.664
7|CAROLINA|12|5|0|427|362|102.402|99.661
8|NEW ENGLAND|11|5|0|410|309|101.923|99.190
9|ARIZONA|12|7|0|522|488|101.607|99.777
10|MINNESOTA|10|7|0|394|359|101.459|100.101
11|ATLANTA|11|6|0|415|355|101.263|99.302
12|DALLAS|9|7|0|362|365|101.222|100.404
13|MIAMI|11|6|0|354|344|101.092|99.358
14|CHICAGO|9|7|0|375|350|100.616|99.518
15|SAN DIEGO|9|9|0|486|399|100.582|100.093
16|TAMPA BAY|9|7|0|361|323|100.438|99.311
17|HOUSTON|8|8|0|366|394|100.357|100.413
18|NEW ORLEANS|8|8|0|463|393|99.929|99.402
19|WASHINGTON|8|8|0|265|296|99.849|100.143
20|NEW YORK JETS|9|7|0|405|356|99.840|99.041
21|GREEN BAY|6|10|0|419|380|98.935|99.778
22|DENVER|8|8|0|370|448|98.498|99.041
23|SAN FRANCISCO|7|9|0|339|381|98.196|99.048
24|JACKSONVILLE|5|11|0|302|367|97.971|100.614
25|BUFFALO|7|9|0|336|342|97.962|98.882
26|CINCINNATI|4|11|1|204|364|97.669|101.325
27|CLEVELAND|4|12|0|232|350|97.513|101.467
28|OAKLAND|5|11|0|263|388|96.925|99.803
29|SEATTLE|4|12|0|294|392|96.384|99.708
30|KANSAS CITY|2|14|0|291|440|94.651|99.915
31|ST. LOUIS|2|14|0|232|465|94.071|100.154
32|DETROIT|0|16|0|268|518|92.515|100.608
33|ARIZONA 23|0|1|0|1|27|91.624|105.147
