Rank|Team|W|L|T|PF|PA|Power|SoS
1|SAN FRANCISCO|16|3|0|636|365|105.208|99.932
2|DALLAS|13|5|0|477|295|103.517|99.793
3|PITTSBURGH|13|5|0|358|260|102.992|99.584
4|SAN DIEGO|13|6|0|446|389|102.678|100.268
5|CLEVELAND|12|6|0|369|246|102.076|99.403
6|MIAMI|11|7|0|437|366|101.856|100.252
7|MINNESOTA|10|7|0|374|349|101.492|100.447
8|GREEN BAY|10|8|0|407|334|101.440|100.388
9|NEW ENGLAND|10|7|0|364|332|101.397|100.332
10|DETROIT|9|8|0|369|358|101.040|100.785
11|CHICAGO|10|8|0|321|369|100.802|100.344
12|KANSAS CITY|9|8|0|336|325|100.489|100.041
13|LA RAIDERS|9|7|0|303|327|100.422|100.114
14|NY GIANTS|9|7|0|279|305|99.741|99.319
15|BUFFALO|7|9|0|340|356|99.460|100.248
16|ARIZONA|8|8|0|235|267|99.207|99.365
17|PHILADELPHIA|7|9|0|308|308|99.181|99.873
18|DENVER|7|9|0|347|396|99.142|99.953
19|NEW ORLEANS|7|9|0|348|407|99.088|100.267
20|INDIANAPOLIS|8|8|0|307|320|99.037|99.215
21|ATLANTA|7|9|0|317|385|98.983|99.987
22|NY JETS|6|10|0|264|320|98.656|100.428
23|SEATTLE|6|10|0|287|323|97.964|99.520
24|TAMPA BAY|6|10|0|251|351|97.812|99.886
25|LA RAMS|4|12|0|286|365|97.079|100.245
26|WASHINGTON|3|13|0|320|412|95.630|99.767
27|CINCINNATI|3|13|0|276|406|95.593|100.201
28|HOUSTON|2|14|0|226|352|94.677|99.937
