Rank|Team|W|L|T|PF|PA|Power|SoS
1|GREEN BAY|13|2|0|369|190|105.776|99.944
2|DALLAS|10|4|1|472|273|103.172|99.457
3|CLEVELAND|9|5|0|403|259|102.436|99.609
4|BALTIMORE|9|5|0|314|226|102.128|100.030
5|LA RAMS|8|6|0|289|212|101.165|99.780
6|PHILADELPHIA|9|5|0|326|340|100.954|99.416
7|ST LOUIS|8|5|1|264|265|100.575|99.409
8|SAN FRANCISCO|6|6|2|320|325|100.117|100.416
9|WASHINGTON|7|7|0|351|355|99.577|99.757
10|CHICAGO|5|7|2|234|272|99.251|100.513
11|MINNESOTA|4|9|1|292|304|98.808|100.761
12|PITTSBURGH|5|8|1|316|347|98.307|99.619
13|DETROIT|4|9|1|206|317|97.661|100.578
14|ATLANTA|3|11|0|204|437|95.293|100.291
15|NY GIANTS|1|12|1|263|501|94.143|100.464
