Rank|Team|W|L|T|PF|PA|Power|SoS
1|PHILADELPHIA|11|2|0|338|259|104.985|100.047
2|CLEVELAND|8|3|1|362|217|103.647|99.958
3|GREEN BAY|8|5|0|345|226|101.715|99.424
4|NY GIANTS|6|4|2|271|261|101.625|100.431
5|ST LOUIS|6|5|1|288|230|101.317|100.303
6|DETROIT|7|5|0|239|212|100.728|99.522
7|SAN FRANCISCO|7|5|0|208|205|100.281|99.317
8|PITTSBURGH|5|6|1|240|275|100.213|100.786
9|BALTIMORE|6|6|0|288|234|99.446|98.976
10|CHICAGO|5|6|1|194|299|98.651|99.757
11|LA RAMS|4|7|1|265|297|98.126|99.650
12|WASHINGTON|1|9|2|178|309|95.862|101.322
13|DALLAS|0|11|1|177|369|92.846|100.550
