Rank|Team|W|L|T|PF|PA|Power|SoS
1|GREEN BAY|12|3|0|428|223|105.535|100.493
2|NY GIANTS|10|4|1|368|257|102.419|99.412
3|PHILADELPHIA|10|4|0|361|297|102.107|99.006
4|DETROIT|8|5|1|270|258|102.010|100.712
5|CHICAGO|8|6|0|326|302|101.786|100.869
6|CLEVELAND|8|5|1|319|270|101.268|99.377
7|BALTIMORE|8|6|0|302|307|101.068|100.215
8|SAN FRANCISCO|7|6|1|346|272|100.875|100.183
9|ST LOUIS|7|7|0|279|267|99.522|99.324
10|PITTSBURGH|6|8|0|295|287|98.683|99.175
11|LA RAMS|4|10|0|263|333|98.448|101.184
12|MINNESOTA|3|11|0|285|407|96.461|100.816
13|DALLAS|4|9|1|236|380|95.993|99.102
14|WASHINGTON|1|12|1|174|392|93.258|100.137
