Rank|Team|W|L|T|PF|PA|Power|SoS
1|NEW ENGLAND|17|2|0|545|311|105.520|99.292
2|DALLAS|13|4|0|452|340|103.434|99.808
3|ATLANTA|13|6|0|648|481|103.083|100.255
4|KANSAS CITY|12|5|0|405|339|103.050|100.393
5|PITTSBURGH|13|6|0|464|391|102.807|100.312
6|OAKLAND|12|5|0|430|412|102.325|100.323
7|GREEN BAY|12|7|0|525|476|102.144|100.406
8|NEW YORK GIANTS|11|6|0|323|322|101.700|100.036
9|DENVER|9|7|0|333|297|101.657|100.753
10|SEATTLE|11|6|1|400|334|101.169|99.249
11|HOUSTON|10|8|0|322|376|100.683|100.535
12|WASHINGTON|8|7|1|396|383|100.631|100.214
13|TAMPA BAY|9|7|0|354|369|100.554|99.871
14|PHILADELPHIA|7|9|0|367|331|100.455|100.630
15|BALTIMORE|8|8|0|343|321|100.164|99.897
16|TENNESSEE|9|7|0|381|378|100.131|99.483
17|INDIANAPOLIS|8|8|0|421|392|100.062|99.852
18|MINNESOTA|8|8|0|327|307|100.017|99.840
19|MIAMI|10|7|0|365|410|99.933|99.429
20|DETROIT|9|8|0|352|384|99.807|99.778
21|NEW ORLEANS|7|9|0|469|454|99.536|100.126
22|CINCINNATI|6|9|1|325|315|99.447|100.211
23|ARIZONA|7|8|1|418|362|99.196|99.099
24|BUFFALO|7|9|0|399|378|98.900|99.352
25|CAROLINA|6|10|0|369|402|98.757|100.169
26|SAN DIEGO|5|11|0|410|423|98.548|100.444
27|NEW YORK JETS|5|11|0|275|399|96.773|99.890
28|JACKSONVILLE|3|13|0|318|400|96.425|100.275
29|CHICAGO|3|13|0|279|399|96.034|100.136
30|LOS ANGELES|4|12|0|224|394|95.606|99.602
31|SAN FRANCISCO|2|14|0|309|480|94.168|99.654
32|CLEVELAND|1|15|0|264|452|93.871|100.679
