Rank|Team|W|L|T|PF|PA|Power|SoS
1|SAN FRANCISCO|13|5|1|501|362|104.033|100.982
2|NEW ENGLAND|13|5|0|611|387|103.924|100.198
3|DENVER|13|4|0|516|327|103.607|99.050
4|SEATTLE|12|6|0|464|289|103.434|100.759
5|ATLANTA|14|4|0|473|355|103.272|99.374
6|GREEN BAY|12|6|0|488|391|103.159|100.703
7|HOUSTON|13|5|0|464|385|103.097|99.970
8|BALTIMORE|14|6|0|522|432|102.869|100.133
9|CHICAGO|10|6|0|375|277|102.344|100.438
10|MINNESOTA|10|7|0|389|372|101.839|100.710
11|NEW YORK GIANTS|9|7|0|429|344|101.373|100.244
12|WASHINGTON|10|7|0|450|412|101.223|100.160
13|INDIANAPOLIS|11|6|0|366|411|100.636|99.211
14|CINCINNATI|10|7|0|404|339|100.619|99.067
15|ST. LOUIS|7|8|1|299|348|100.436|101.004
16|DALLAS|8|8|0|376|400|100.140|100.310
17|NEW ORLEANS|7|9|0|461|454|99.477|99.980
18|PITTSBURGH|8|8|0|336|314|99.402|99.114
19|CAROLINA|7|9|0|357|363|99.313|99.912
20|TAMPA BAY|7|9|0|389|394|99.129|99.716
21|MIAMI|7|9|0|288|317|98.973|99.798
22|ARIZONA|5|11|0|250|357|98.451|101.207
23|SAN DIEGO|7|9|0|350|350|98.057|98.782
24|NEW YORK JETS|6|10|0|281|375|97.925|100.036
25|DETROIT|4|12|0|372|437|97.914|101.003
26|BUFFALO|6|10|0|344|435|97.795|99.608
27|TENNESSEE|6|10|0|330|471|97.526|99.815
28|CLEVELAND|5|11|0|302|368|97.172|99.579
29|PHILADELPHIA|4|12|0|280|444|96.366|100.193
30|OAKLAND|4|12|0|290|443|95.119|99.002
31|JACKSONVILLE|2|14|0|255|445|94.122|100.133
32|KANSAS CITY|2|14|0|211|425|93.176|99.578
