Rank|Team|W|L|T|PF|PA|Power|SoS
1|NY GIANTS|16|3|0|401|246|106.106|100.844
2|BUFFALO|15|4|0|542|320|105.390|100.343
3|SAN FRANCISCO|15|3|0|394|264|104.457|99.596
4|MIAMI|13|5|0|387|302|103.811|100.326
5|LA RAIDERS|13|5|0|360|329|103.272|100.459
6|WASHINGTON|11|7|0|411|335|102.943|101.186
7|PHILADELPHIA|10|7|0|402|319|102.020|100.487
8|KANSAS CITY|11|6|0|385|274|101.699|99.351
9|CHICAGO|12|6|0|367|317|101.495|99.373
10|SEATTLE|9|7|0|306|286|100.636|99.793
11|HOUSTON|9|8|0|419|348|100.134|99.405
12|PITTSBURGH|9|7|0|292|240|99.812|98.899
13|CINCINNATI|10|8|0|411|386|99.787|99.099
14|MINNESOTA|6|10|0|351|326|99.173|100.257
15|INDIANAPOLIS|7|9|0|281|353|99.113|100.563
16|NEW ORLEANS|8|9|0|280|291|98.861|99.339
17|DALLAS|7|9|0|244|308|98.814|100.370
18|SAN DIEGO|6|10|0|315|281|98.376|99.547
19|DETROIT|6|10|0|373|413|98.296|99.980
20|PHOENIX|5|11|0|268|396|98.088|101.065
21|DENVER|5|11|0|331|374|98.012|100.263
22|GREEN BAY|6|10|0|277|344|97.884|99.823
23|NY JETS|6|10|0|295|345|97.518|99.415
24|LA RAMS|5|11|0|345|412|97.346|99.956
25|ATLANTA|5|11|0|348|365|97.337|99.482
26|TAMPA BAY|6|10|0|261|373|96.852|99.076
27|CLEVELAND|3|13|0|228|462|95.087|100.142
28|NEW ENGLAND|1|15|0|181|446|93.387|101.422
