Rank|Team|W|L|T|PF|PA|Power|SoS
1|ST. LOUIS|16|3|0|594|334|105.781|100.130
2|PITTSBURGH|14|4|0|396|246|103.664|99.492
3|CHICAGO|13|4|0|357|236|103.523|99.649
4|NEW ENGLAND|14|5|0|431|319|103.178|99.950
5|GREEN BAY|13|5|0|432|326|103.004|99.681
6|SAN FRANCISCO|12|5|0|424|307|102.995|99.703
7|PHILADELPHIA|13|6|0|431|265|102.922|99.990
8|BALTIMORE|11|7|0|333|295|102.017|100.496
9|MIAMI|11|6|0|347|310|101.860|100.106
10|NEW YORK JETS|10|7|0|332|333|101.309|100.231
11|OAKLAND|11|7|0|450|367|101.237|99.596
12|TAMPA BAY|9|8|0|333|311|100.977|100.549
13|SEATTLE|9|7|0|301|324|99.560|99.209
14|CLEVELAND|7|9|0|285|319|99.542|100.451
15|DENVER|8|8|0|340|339|99.505|99.517
16|TENNESSEE|7|9|0|336|388|99.321|100.326
17|JACKSONVILLE|6|10|0|294|286|99.105|100.201
18|NEW YORK GIANTS|7|9|0|294|321|99.064|99.809
19|INDIANAPOLIS|6|10|0|413|486|99.010|100.718
20|WASHINGTON|8|8|0|256|303|98.922|99.260
21|ATLANTA|7|9|0|291|377|98.899|100.286
22|NEW ORLEANS|7|9|0|333|409|98.783|99.948
23|CINCINNATI|6|10|0|226|309|98.379|100.579
24|KANSAS CITY|6|10|0|320|344|98.251|99.855
25|ARIZONA|7|9|0|295|343|97.841|99.029
26|SAN DIEGO|5|11|0|332|321|97.616|99.413
27|MINNESOTA|5|11|0|290|390|97.365|100.298
28|DALLAS|5|11|0|246|338|97.046|99.603
29|BUFFALO|3|13|0|265|420|95.666|100.344
30|DETROIT|2|14|0|270|424|95.356|100.894
31|CAROLINA|1|15|0|253|410|94.165|100.754
