Rank|Team|W|L|T|PF|PA|Power|SoS
1|CHICAGO|12|1|2|315|154|105.837|99.614
2|GREEN BAY|11|2|1|369|206|105.069|99.877
3|NY GIANTS|11|4|0|458|294|103.019|99.276
4|CLEVELAND|10|4|0|343|262|102.036|99.039
5|PITTSBURGH|7|4|3|321|295|101.542|100.083
6|ST LOUIS|9|5|0|341|283|101.471|99.568
7|BALTIMORE|8|6|0|316|285|101.118|100.152
8|DETROIT|5|8|1|326|265|99.749|100.334
9|MINNESOTA|5|8|1|309|390|98.495|100.415
10|LA RAMS|5|9|0|210|350|97.540|100.593
11|DALLAS|4|10|0|305|378|96.732|99.608
12|WASHINGTON|3|11|0|279|398|95.945|100.007
13|PHILADELPHIA|2|10|2|242|381|95.923|100.416
14|SAN FRANCISCO|2|12|0|198|391|94.891|101.098
