Rank|Team|W|L|T|PF|PA|Power|SoS
1|MIAMI|16|0|0|426|202|107.479|98.783
2|WASHINGTON|13|3|0|378|224|105.059|99.695
3|PITTSBURGH|12|4|0|373|203|104.559|99.909
4|DALLAS|11|5|0|352|294|103.158|100.589
5|GREEN BAY|10|5|0|307|242|102.856|100.458
6|OAKLAND|10|4|1|372|261|102.630|99.640
7|NY GIANTS|8|6|0|331|247|101.726|100.274
8|CLEVELAND|10|5|0|282|269|101.641|99.653
9|DETROIT|8|5|1|349|282|101.513|99.815
10|MINNESOTA|7|7|0|301|252|101.226|100.883
11|CINCINNATI|8|6|0|299|229|100.965|99.412
12|KANSAS CITY|8|6|0|287|254|100.734|99.837
13|SAN FRANCISCO|8|6|1|381|279|100.722|99.231
14|NY JETS|7|7|0|367|324|99.772|99.664
15|ATLANTA|7|7|0|269|274|98.672|98.746
16|LA RAMS|6|7|1|291|286|98.617|98.765
17|CHICAGO|4|9|1|225|275|98.270|100.464
18|SAN DIEGO|4|9|1|264|344|98.220|100.935
19|BALTIMORE|5|9|0|235|252|98.091|100.123
20|ST LOUIS|4|9|1|193|303|98.026|101.156
21|DENVER|5|9|0|325|350|97.970|99.578
22|BUFFALO|4|9|1|257|377|97.893|101.173
23|NEW ENGLAND|3|11|0|192|446|94.806|100.596
24|NEW ORLEANS|2|11|1|207|371|94.648|99.477
25|PHILADELPHIA|2|11|1|145|352|94.028|100.222
26|HOUSTON|1|13|0|164|380|93.265|101.140
