Rank|Team|W|L|T|PF|PA|Power|SoS
1|PITTSBURGH|14|4|0|477|289|105.441|101.175
2|SAN DIEGO|12|5|0|425|263|104.157|100.680
3|HOUSTON|13|6|0|405|379|103.622|101.582
4|CLEVELAND|9|7|0|359|352|102.071|101.345
5|DENVER|10|7|0|296|275|102.045|100.928
6|DALLAS|11|6|0|390|334|102.039|100.146
7|PHILADELPHIA|12|6|0|383|323|101.842|99.732
8|OAKLAND|9|7|0|365|337|101.836|100.959
9|WASHINGTON|10|6|0|348|295|101.652|99.791
10|SEATTLE|9|7|0|378|372|101.554|100.994
11|MIAMI|10|7|0|355|291|101.138|99.652
12|LA RAMS|11|7|0|353|328|100.754|99.392
13|NEW ENGLAND|9|7|0|411|326|100.664|99.428
14|KANSAS CITY|7|9|0|238|262|100.482|101.374
15|CHICAGO|10|7|0|323|276|99.564|98.263
16|NY JETS|8|8|0|337|383|99.360|99.512
17|NEW ORLEANS|8|8|0|370|360|99.350|99.181
18|TAMPA BAY|11|7|0|297|263|99.348|97.922
19|CINCINNATI|4|12|0|337|421|98.702|101.867
20|BUFFALO|7|9|0|268|279|98.625|99.683
21|ST LOUIS|5|11|0|307|358|98.247|100.582
22|NY GIANTS|6|10|0|237|323|97.933|99.829
23|BALTIMORE|5|11|0|271|351|97.846|100.478
24|ATLANTA|6|10|0|300|388|97.460|99.417
25|MINNESOTA|7|9|0|259|337|97.115|98.346
26|GREEN BAY|5|11|0|246|316|96.159|98.725
27|SAN FRANCISCO|2|14|0|308|416|95.108|99.935
28|DETROIT|2|14|0|219|365|93.726|99.029
