Rank|Team|W|L|T|PF|PA|Power|SoS
1|PITTSBURGH|14|2|0|417|182|107.107|100.201
2|LA RAMS|13|3|0|354|195|104.107|98.618
3|CINCINNATI|11|4|0|368|277|104.002|100.276
4|HOUSTON|10|4|0|293|226|103.952|100.714
5|OAKLAND|12|4|0|416|299|103.554|99.728
6|DALLAS|12|4|0|404|289|103.493|99.751
7|MIAMI|10|4|0|357|222|103.067|99.509
8|MINNESOTA|12|3|0|391|197|102.944|97.763
9|BALTIMORE|10|5|0|405|297|102.664|100.015
10|ST LOUIS|11|4|0|379|311|102.493|99.426
11|BUFFALO|8|6|0|420|351|102.098|100.767
12|WASHINGTON|8|6|0|325|276|101.073|100.004
13|DETROIT|7|7|0|245|262|99.376|99.561
14|DENVER|6|8|0|250|307|98.465|99.835
15|PHILADELPHIA|4|10|0|225|302|97.910|100.776
16|KANSAS CITY|5|9|0|282|341|97.743|100.079
17|NY GIANTS|5|9|0|216|306|97.252|99.742
18|CLEVELAND|3|11|0|218|372|97.175|102.084
19|NEW ENGLAND|3|11|0|258|358|96.921|101.032
20|ATLANTA|4|10|0|240|289|96.906|99.763
21|GREEN BAY|4|10|0|226|285|96.773|100.011
22|SAN FRANCISCO|5|9|0|255|286|96.662|98.610
23|NY JETS|3|11|0|258|433|96.584|101.308
24|CHICAGO|4|10|0|191|379|95.945|100.388
25|SAN DIEGO|2|12|0|189|345|95.028|100.885
26|NEW ORLEANS|2|12|0|165|360|93.234|99.576
