Rank|Team|W|L|T|PF|PA|Power|SoS
1|NEW ORLEANS|14|3|0|533|360|104.661|100.174
2|LA RAMS|14|4|0|538|410|103.978|100.179
3|KANSAS CITY|12|5|0|592|468|103.306|100.252
4|NEW ENGLAND|13|5|0|489|384|103.274|100.261
5|LA CHARGERS|12|5|0|456|378|102.818|100.034
6|CHICAGO|11|5|0|412|289|101.884|98.909
7|BALTIMORE|9|7|0|380|286|101.660|100.253
8|HOUSTON|10|6|0|389|334|101.520|99.896
9|PITTSBURGH|8|6|1|412|347|101.482|100.373
10|TENNESSEE|9|6|0|293|270|101.298|100.031
11|INDIANAPOLIS|10|7|0|434|365|101.205|99.783
12|SEATTLE|9|7|0|423|347|101.091|99.789
13|DALLAS|10|7|0|349|341|101.047|100.267
14|PHILADELPHIA|9|8|0|373|383|100.912|100.637
15|MINNESOTA|8|6|1|350|317|100.372|99.509
16|CLEVELAND|7|7|1|335|366|99.957|100.152
17|WASHINGTON|7|8|0|281|335|99.122|99.706
18|ATLANTA|6|9|0|380|391|98.889|99.983
19|GREEN BAY|6|8|1|376|369|98.870|99.494
20|CINCINNATI|6|9|0|355|439|98.852|100.426
21|DENVER|6|9|0|320|326|98.799|99.933
22|CAROLINA|6|9|0|343|368|98.724|99.886
23|MIAMI|7|8|0|302|391|98.618|99.577
24|JACKSONVILLE|5|10|0|242|296|98.382|100.420
25|TAMPA BAY|5|10|0|364|430|98.107|100.326
26|NY GIANTS|5|10|0|334|376|97.968|100.142
27|DETROIT|5|10|0|293|360|97.547|99.700
28|BUFFALO|5|10|0|227|357|97.457|100.259
29|NY JETS|4|11|0|330|403|96.580|99.684
30|OAKLAND|4|11|0|287|432|96.553|100.315
31|SAN FRANCISCO|4|11|0|304|387|96.350|99.492
32|ARIZONA|3|12|0|201|392|94.995|99.994
