Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Denver                                     11     3     0   407   303   55.677
   2 New England                                11     3     0   442   280   55.666
   3 Seattle                                    10     4     0   339   242   54.281
   4 Arizona                                    11     3     0   287   244   54.237
   5 Green Bay                                  10     4     0   436   325   52.970
   6 Indianapolis                               10     4     0   424   317   52.824
   7 Kansas City                                 8     6     0   322   254   52.597
   8 Detroit                                    10     4     0   281   238   52.277
   9 San Diego                                   8     6     0   303   294   52.245
  10 Philadelphia                                9     5     0   416   347   52.022
  11 Buffalo                                     8     6     0   302   254   51.977
  12 Dallas                                     10     4     0   381   328   51.820
  13 Miami                                       7     7     0   327   301   51.681
  14 Baltimore                                   9     5     0   376   267   51.672
  15 Cincinnati                                  9     4     1   311   289   51.149
  16 San Francisco                               7     7     0   251   285   50.286
  17 Pittsburgh                                  9     5     0   389   339   50.097
  18 St. Louis                                   6     8     0   291   297   49.967
  19 Houston                                     7     7     0   324   277   49.365
  20 New Orleans                                 6     8     0   364   374   48.847
  21 Minnesota                                   6     8     0   277   297   48.600
  22 Cleveland                                   7     7     0   276   300   48.556
  23 Chicago                                     5     9     0   296   409   48.014
  24 Carolina                                    5     8     1   288   358   47.916
  25 New York Giants                             5     9     0   317   339   47.830
  26 Atlanta                                     5     9     0   348   369   47.497
  27 New York Jets                               3    11     0   230   360   46.648
  28 Oakland                                     2    12     0   213   381   46.158
  29 Washington                                  3    11     0   257   370   44.841
  30 Tampa Bay                                   2    12     0   254   367   44.277
  31 Jacksonville                                2    12     0   211   376   44.141
  32 Tennessee                                   2    12     0   231   390   43.862
