Rank|Team|W|L|T|PF|PA|Power|SoS
1|INDIANAPOLIS|16|4|0|532|425|104.839|101.107
2|NEW ENGLAND|14|5|0|480|312|104.469|101.003
3|SAN DIEGO|14|3|0|513|327|104.462|99.519
4|BALTIMORE|13|4|0|359|216|103.762|99.733
5|CHICAGO|15|4|0|510|322|103.585|99.290
6|JACKSONVILLE|8|8|0|371|274|101.660|100.920
7|NEW YORK JETS|10|7|0|332|332|101.461|100.441
8|PHILADELPHIA|11|7|0|435|366|101.317|99.670
9|DENVER|9|7|0|319|305|101.196|100.087
10|TENNESSEE|8|8|0|324|400|101.012|101.500
11|NEW ORLEANS|11|7|0|454|385|101.001|99.363
12|CINCINNATI|8|8|0|373|331|100.801|100.253
13|BUFFALO|7|9|0|300|311|100.792|101.367
14|DALLAS|9|8|0|445|371|100.233|99.411
15|KANSAS CITY|9|8|0|339|338|100.202|100.005
16|PITTSBURGH|8|8|0|353|315|100.044|99.840
17|NEW YORK GIANTS|8|9|0|366|375|99.944|100.180
18|SEATTLE|10|8|0|380|388|99.651|99.071
19|MIAMI|6|10|0|260|283|99.530|101.026
20|GREEN BAY|8|8|0|301|366|99.285|99.752
21|CAROLINA|8|8|0|270|305|99.010|99.175
22|HOUSTON|6|10|0|267|366|98.758|100.688
23|ST. LOUIS|8|8|0|367|381|98.739|98.868
24|ATLANTA|7|9|0|292|328|98.139|99.025
25|SAN FRANCISCO|7|9|0|298|412|98.080|99.313
26|MINNESOTA|6|10|0|282|327|97.812|99.574
27|WASHINGTON|5|11|0|307|376|97.510|99.995
28|ARIZONA|5|11|0|314|389|96.646|99.246
29|CLEVELAND|4|12|0|238|356|96.427|100.232
30|TAMPA BAY|4|12|0|211|353|95.965|99.973
31|DETROIT|3|13|0|305|398|95.774|99.944
32|OAKLAND|2|14|0|168|332|94.299|100.381
