Rank|Team|W|L|T|PF|PA|Power|SoS
1|PHILADELPHIA|16|4|0|581|396|104.633|100.136
2|BUFFALO|14|4|0|499|344|104.274|100.345
3|KANSAS CITY|17|3|0|584|444|104.156|99.426
4|CINCINNATI|14|5|0|489|372|103.783|100.658
5|DALLAS|13|6|0|510|375|102.896|100.241
6|SAN FRANCISCO|15|5|0|517|343|102.890|99.086
7|MINNESOTA|13|5|0|449|458|102.341|100.078
8|BALTIMORE|10|8|0|367|339|101.213|100.457
9|NY GIANTS|10|8|1|403|433|101.056|100.651
10|DETROIT|9|8|0|453|427|101.011|100.577
11|MIAMI|9|9|0|428|433|100.854|100.817
12|PITTSBURGH|9|8|0|308|346|100.445|100.376
13|WASHINGTON|8|8|1|321|343|100.390|100.490
14|JACKSONVILLE|10|9|0|455|407|100.215|99.603
15|NEW ENGLAND|8|9|0|364|347|100.143|100.226
16|GREEN BAY|8|9|0|370|372|100.117|100.484
17|LA CHARGERS|10|8|0|421|415|99.570|98.923
18|CLEVELAND|7|10|0|361|381|99.410|100.327
19|NY JETS|7|10|0|296|316|99.405|100.679
20|SEATTLE|9|9|0|430|442|99.299|99.365
21|TAMPA BAY|8|10|0|327|389|99.172|100.064
22|NEW ORLEANS|7|10|0|330|345|98.707|99.785
23|TENNESSEE|7|10|0|298|359|98.609|99.911
24|CAROLINA|7|10|0|347|374|98.485|99.476
25|ATLANTA|7|10|0|365|386|98.297|99.378
26|LAS VEGAS|6|11|0|395|418|97.345|99.152
27|LA RAMS|5|12|0|307|384|96.850|99.788
28|CHICAGO|3|14|0|326|463|96.619|101.009
29|DENVER|5|12|0|287|359|96.553|99.234
30|INDIANAPOLIS|4|12|1|289|427|96.267|99.878
31|ARIZONA|4|13|0|340|449|96.224|99.852
32|HOUSTON|3|13|1|289|420|95.378|99.627
