Rank|Team|W|L|T|PF|PA|Power|SoS
1|DENVER|14|2|0|328|186|107.571|101.579
2|DALLAS|14|2|0|405|225|105.757|99.572
3|OAKLAND|12|4|0|405|281|105.113|101.312
4|PITTSBURGH|9|6|0|304|277|103.200|101.994
5|MIAMI|10|4|0|313|197|103.169|99.583
6|BALTIMORE|10|5|0|326|258|102.623|100.244
7|HOUSTON|8|6|0|299|230|102.245|100.868
8|CINCINNATI|8|6|0|238|235|101.678|100.914
9|LA RAMS|10|5|0|309|160|101.659|98.269
10|NEW ENGLAND|9|5|0|278|217|101.550|99.286
11|SAN DIEGO|7|7|0|222|205|101.530|101.314
12|MINNESOTA|10|6|0|251|257|101.087|99.703
13|WASHINGTON|9|5|0|196|189|100.939|99.329
14|CLEVELAND|6|8|0|269|267|100.229|100.941
15|ST LOUIS|7|7|0|272|287|100.032|100.217
16|CHICAGO|9|6|0|262|290|99.578|98.509
17|ATLANTA|7|7|0|179|129|98.706|98.081
18|SEATTLE|5|9|0|282|373|98.334|100.786
19|PHILADELPHIA|5|9|0|220|207|97.987|99.459
20|NY GIANTS|5|9|0|181|265|97.636|99.973
21|DETROIT|6|8|0|183|252|97.436|98.775
22|SAN FRANCISCO|5|9|0|220|260|97.058|98.964
23|KANSAS CITY|2|12|0|225|349|96.686|102.150
24|BUFFALO|3|11|0|160|313|96.417|101.263
25|NY JETS|3|11|0|191|300|96.055|100.604
26|GREEN BAY|4|10|0|134|219|95.431|98.819
27|NEW ORLEANS|3|11|0|232|336|94.056|98.274
28|TAMPA BAY|2|12|0|103|223|92.943|98.978
