Rank|Team|W|L|T|PF|PA|Power|SoS
1|NY GIANTS|17|2|0|476|259|107.017|100.809
2|WASHINGTON|14|5|0|414|333|104.345|101.159
3|DENVER|13|6|0|443|403|103.747|101.609
4|CHICAGO|14|3|0|365|214|103.536|98.487
5|SEATTLE|10|6|0|366|293|102.974|101.313
6|CLEVELAND|13|5|0|431|350|102.097|99.152
7|NEW ENGLAND|11|6|0|429|329|102.003|99.595
8|SAN FRANCISCO|10|6|1|377|296|101.953|99.953
9|CINCINNATI|10|6|0|409|394|101.267|99.887
10|MINNESOTA|9|7|0|398|273|101.020|99.244
11|NY JETS|11|7|0|416|421|100.875|99.684
12|LA RAIDERS|8|8|0|323|346|100.809|100.975
13|LA RAMS|10|7|0|316|286|100.804|99.461
14|DALLAS|7|9|0|346|337|100.634|101.250
15|KANSAS CITY|10|7|0|373|361|100.584|99.539
16|MIAMI|8|8|0|430|405|99.406|99.123
17|NEW ORLEANS|7|9|0|288|287|99.336|99.839
18|PHILADELPHIA|5|10|1|256|312|99.307|101.416
19|ATLANTA|7|8|1|280|280|98.980|99.383
20|PITTSBURGH|6|10|0|307|336|98.732|100.204
21|SAN DIEGO|4|12|0|335|396|98.274|101.292
22|HOUSTON|5|11|0|274|329|96.940|99.401
23|ST LOUIS|4|11|1|218|351|96.521|100.315
24|DETROIT|5|11|0|277|326|96.499|99.001
25|BUFFALO|4|12|0|287|348|95.819|98.947
26|GREEN BAY|4|12|0|254|418|95.592|99.922
27|INDIANAPOLIS|3|13|0|229|400|94.689|99.712
28|TAMPA BAY|2|14|0|239|473|92.477|98.988
