Rank|Team|W|L|T|PF|PA|Power|SoS
1|NEW ENGLAND|17|2|0|522|311|107.748|101.122
2|PITTSBURGH|16|2|0|419|309|106.880|101.231
3|PHILADELPHIA|15|4|0|461|307|103.918|99.686
4|INDIANAPOLIS|13|5|0|574|395|103.903|100.580
5|NEW YORK JETS|11|7|0|370|298|103.058|101.350
6|SAN DIEGO|12|5|0|463|333|102.988|99.929
7|BALTIMORE|9|7|0|317|268|102.515|101.582
8|BUFFALO|9|7|0|395|284|102.119|100.790
9|DENVER|10|7|0|405|353|101.387|100.032
10|CINCINNATI|8|8|0|374|372|101.381|101.411
11|JACKSONVILLE|9|7|0|261|280|100.845|100.384
12|ATLANTA|12|6|0|397|381|100.404|98.643
13|KANSAS CITY|7|9|0|483|435|100.075|100.654
14|GREEN BAY|10|7|0|441|411|99.996|98.928
15|HOUSTON|7|9|0|310|339|99.426|100.084
16|MINNESOTA|9|9|0|449|439|99.330|99.319
17|SEATTLE|9|8|0|391|400|98.935|98.707
18|ST. LOUIS|9|9|0|363|459|98.686|99.225
19|CAROLINA|7|9|0|355|339|98.469|99.057
20|CLEVELAND|4|12|0|276|390|98.299|102.011
21|NEW ORLEANS|8|8|0|348|405|98.271|98.653
22|NEW YORK GIANTS|6|10|0|303|347|98.207|99.894
23|OAKLAND|5|11|0|320|442|97.903|100.846
24|WASHINGTON|6|10|0|240|265|97.766|99.473
25|DALLAS|6|10|0|293|405|97.709|99.939
26|MIAMI|4|12|0|275|354|97.681|101.359
27|DETROIT|6|10|0|296|351|97.620|99.220
28|TENNESSEE|5|11|0|344|439|97.594|100.170
29|ARIZONA|6|10|0|284|322|97.085|98.864
30|TAMPA BAY|5|11|0|301|304|96.729|98.641
31|CHICAGO|5|11|0|231|331|96.008|98.945
32|SAN FRANCISCO|2|14|0|259|452|93.137|99.229
