Rank|Team|W|L|T|PF|PA|Power|SoS
1|CLEVELAND|12|2|0|348|175|106.614|100.541
2|NY GIANTS|10|3|0|271|158|105.033|101.090
3|PHILADELPHIA|6|6|0|254|141|102.356|101.296
4|LA RAMS|10|4|0|518|359|102.281|98.865
5|CHICAGO|9|4|0|299|231|101.793|98.901
6|PITTSBURGH|6|6|0|180|195|101.305|101.198
7|CHICAGO CARDINALS|5|7|0|233|287|100.707|101.944
8|NY YANKS|7|5|0|366|367|99.629|98.640
9|DETROIT|6|6|0|321|285|99.004|98.434
10|WASHINGTON|3|9|0|232|326|96.828|100.878
11|SAN FRANCISCO|3|9|0|213|300|95.493|99.461
12|GREEN BAY|3|9|0|244|406|94.605|98.794
13|BALTIMORE|1|11|0|213|462|92.301|100.057
