Rank|Team|W|L|T|PF|PA|Power|SoS
1|GREEN BAY|14|1|0|431|155|108.049|99.710
2|DETROIT|11|3|0|315|177|105.432|100.562
3|NY GIANTS|12|3|0|405|299|103.410|99.496
4|CHICAGO|9|5|0|321|287|102.716|100.789
5|BALTIMORE|7|7|0|293|288|100.921|100.767
6|PITTSBURGH|9|5|0|312|363|100.029|98.870
7|CLEVELAND|7|6|1|291|257|99.554|98.888
8|SAN FRANCISCO|6|8|0|282|331|99.543|100.895
9|DALLAS|5|8|1|398|402|97.774|98.963
10|WASHINGTON|5|7|2|305|376|97.728|98.841
11|ST LOUIS|4|9|1|287|361|96.774|99.794
12|PHILADELPHIA|3|10|1|282|356|96.266|99.595
13|MINNESOTA|2|11|1|254|410|95.740|101.436
14|LA RAMS|1|12|1|220|334|95.246|101.450
