Rank|Team|W|L|T|PF|PA|Power|SoS
1|ST LOUIS|16|3|0|609|301|104.486|98.112
2|JACKSONVILLE|15|3|0|472|257|104.127|98.386
3|INDIANAPOLIS|13|4|0|439|352|103.895|100.389
4|TENNESSEE|16|4|0|482|393|103.663|99.503
5|BUFFALO|11|6|0|336|251|103.107|100.888
6|TAMPA BAY|12|6|0|290|259|102.125|99.960
7|KANSAS CITY|9|7|0|390|322|101.682|100.630
8|MIAMI|10|8|0|353|415|101.643|101.403
9|MINNESOTA|11|7|0|463|394|101.641|100.023
10|OAKLAND|8|8|0|390|329|101.478|101.119
11|NY JETS|8|8|0|308|309|101.438|101.455
12|WASHINGTON|11|7|0|483|404|101.346|99.643
13|SEATTLE|9|8|0|355|318|100.943|100.411
14|NEW ENGLAND|8|8|0|299|284|100.843|100.589
15|DETROIT|8|9|0|335|350|100.201|100.643
16|SAN DIEGO|8|8|0|269|316|100.054|100.213
17|DENVER|6|10|0|314|318|100.002|101.270
18|GREEN BAY|8|8|0|357|341|99.989|99.929
19|DALLAS|8|9|0|362|303|99.774|99.620
20|BALTIMORE|8|8|0|324|277|99.683|99.363
21|NY GIANTS|7|9|0|299|358|99.228|100.297
22|CHICAGO|6|10|0|272|341|98.934|100.636
23|CAROLINA|8|8|0|421|381|98.287|98.179
24|PHILADELPHIA|5|11|0|272|357|97.904|100.551
25|PITTSBURGH|6|10|0|317|320|97.807|99.263
26|ARIZONA|6|10|0|245|382|97.403|99.698
27|ATLANTA|5|11|0|285|380|96.326|99.421
28|CINCINNATI|4|12|0|283|460|95.313|100.032
29|SAN FRANCISCO|4|12|0|295|453|95.116|99.264
30|NEW ORLEANS|3|13|0|260|434|94.366|99.347
31|CLEVELAND|2|14|0|217|437|93.586|100.195
